sv,phylum,class,order,family,genus,species
sv-220:U796-7_S194_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
sv-221:U686-3_S181_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,
sv-222:U676-6_S170_L001_001,Fusobacteria <Fusobacteria>,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium mortiferum
sv-223:U112-6_S193_L001_001,Firmicutes,Clostridia,Clostridiales,,Flintibacter,
sv-224:U548-6_S255_L001_001,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium coprostanoligenes
sv-225:U622-4_S190_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-226:U420-1_S231_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis
sv-227:U386-3_S375_L001_001,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,Holdemanella biformis
sv-228:U757-3_S373_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium edouardi
sv-229:U158-4_S167_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium edouardi
sv-230:U469-7_S49_L001_001,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus fermentans
sv-231:U157-3_S144_L001_001,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium carnis
sv-232:U763-8_S343_L001_001,Firmicutes,Clostridia,Clostridiales,,Monoglobus,Monoglobus pectinilyticus
sv-233:U520-2_S323_L001_001,Firmicutes,Clostridia,Clostridiales,,Evtepia,
sv-234:U625-4_S191_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-235:U661-9_S34_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,
sv-236:U481-1_S91_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-238:U795-1_S37_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,
sv-239:U391-5_S382_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii
sv-240:U475-7_S67_L001_001,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Marseillibacter,
sv-242:U777-2_S97_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium edouardi
sv-243:U391-7_S349_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus eutactus
sv-244:U305-1_S373_L001_001,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
sv-246:U625-4_S191_L001_001,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus ruminis
sv-247:U482-3_S74_L001_001,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,
sv-248:U289-4_S327_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] symbiosum
sv-249:U316-3_S303_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae/Hungateiclostridiaceae,,
sv-250:U266-4_S71_L001_001,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella seminalis
sv-251:U506-5_S286_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,
sv-252:U438-2_S345_L001_001,Firmicutes/Actinobacteria_<actinobacteria>,Actinobacteria_<high_GC_Gram+>/Erysipelotrichia,Actinomycetales/Erysipelotrichales,Erysipelotrichaceae/Actinomycetaceae,Varibaculum/Massilimicrobiota,Massilimicrobiota_timonensis/Varibaculum_timonense
sv-253:U312-3_S338_L001_001,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Dysosmobacter,
sv-254:U450-8_S206_L001_001,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella oxytoca
sv-255:U628-8_S57_L001_001,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus parainfluenzae/pittmaniae
sv-256:U314-7_S195_L001_001,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Succiniclasticum,
sv-258:U269-2_S26_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,,,
sv-259:U196-8_S272_L001_001,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,[Eubacterium] eligens
sv-260:U284-1_S295_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes ihumii
sv-261:U213-9_S303_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-262:U217-3_S317_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis
sv-263:U269-9_S222_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-264:U135-6_S128_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae/Eubacteriaceae,Eubacterium,
sv-265:U514-2_S108_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,,
sv-266:U618-8_S119_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella clara
sv-267:U376-8_S254_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-268:U280-7_S371_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-270:U560-4_S10_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
sv-271:U137-4_S175_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,
sv-272:U238-1_S15_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Caproiciproducens,
sv-273:U157-2_S163_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella clara
sv-274:U328-3_S374_L001_001,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,
sv-275:U168-6_S134_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides eggerthii
sv-276:U650-8_S129_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia luti
sv-277:U521-8_S44_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides clarus
sv-278:U657-1_S255_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,
sv-279:U386-3_S375_L001_001,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium ventriosum
sv-280:U416-4_S76_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides nordii
sv-281:U048-6_S165_L001_001,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Duodenibacillus,Duodenibacillus massiliensis
sv-282:U744-2_S95_L001_001,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,Bilophila wadsworthia
sv-283:U145-1_S174_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,Anaerotignum lactatifermentans
sv-284:U145-1_S174_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia hansenii/hominis
sv-285:U385-3_S306_L001_001,Firmicutes,Clostridia,Clostridiales,,,
sv-286:U526-7_S293_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae/Ruminococcaceae,Sellimonas/Drancourtella,Drancourtella_massiliensis/Sellimonas_intestinalis
sv-287:U615-2_S178_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,
sv-289:U564-3_S173_L001_001,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Longicatena,Longicatena caecimuris
sv-290:U328-3_S374_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii
sv-291:U404-5_S257_L001_001,Firmicutes,Clostridia,Clostridiales,,Flintibacter,
sv-292:U122-5_S124_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides intestinalis
sv-293:U424-1_S13_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,[Eubacterium] siraeum
sv-295:U379-4_S378_L001_001,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,[Eubacterium] eligens
sv-296:U436-1_S268_L001_001,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Duodenibacillus,Duodenibacillus massiliensis
sv-298:U613-2_S187_L001_001,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
sv-300:U526-2_S86_L001_001,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,Erysipelatoclostridium ramosum
sv-301:U662-7_S131_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis
sv-302:U432-5_S193_L001_001,Firmicutes,Clostridia,Clostridiales,,,
sv-303:U400-4_S250_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides goldsteinii
sv-304:U239-1_S39_L001_001,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,Parasutterella excrementihominis
sv-305:U787-4_S342_L001_001,,,,,,
sv-306:U446-7_S135_L001_001,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus timonensis
sv-308:U626-8_S375_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-309:U709-6_S337_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,Butyricimonas faecihominis
sv-310:U317-6_S363_L001_001,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,,
sv-313:U623-8_S258_L001_001,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,Victivallis,
sv-314:U157-8_S170_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Porphyromonadaceae,Macellibacteroides,
sv-316:U371-7_S347_L001_001,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,[Clostridium] spiroforme
sv-318:U263-6_S110_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri
sv-319:U126-2_S112_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella stercorea
sv-320:U524-4_S2_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri
sv-321:U527-5_S285_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-323:U280-7_S371_L001_001,Firmicutes,Clostridia,,,,
sv-324:U536-3_S284_L001_001,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,Holdemanella biformis
sv-325:U235-6_S75_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-326:U379-4_S378_L001_001,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium carnis
sv-327:U622-9_S136_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,
sv-328:U422-5_S203_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] asparagiforme/lavalense
sv-330:U378-4_S47_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae/Clostridiaceae,,
sv-331:U280-7_S371_L001_001,Firmicutes,Erysipelotrichia/Bacilli,Bacillales/Erysipelotrichales,Erysipelotrichaceae,Massilimicrobiota,Massilimicrobiota timonensis
sv-332:U530-7_S301_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,
sv-333:U360-5_S366_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis
sv-334:U078-2_S177_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-337:U141-6_S278_L001_001,Actinobacteria <actinobacteria>,Coriobacteriia,Eggerthellales,Eggerthellaceae,Raoultibacter,
sv-339:U477-8_S54_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,Coprobacter fastidiosus
sv-340:U763-8_S343_L001_001,Actinobacteria <actinobacteria>,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens
sv-341:U108-6_S245_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-343:U623-3_S23_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,
sv-344:U422-1_S251_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides vulgatus
sv-346:U521-3_S87_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii
sv-347:U124-6_S313_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides oleiciplenus/stercorirosoris
sv-348:U539-8_S339_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalimonas,Faecalimonas umbilicata
sv-349:U377-5_S326_L001_001,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Marseillibacter,
sv-350:U286-3_S238_L001_001,Firmicutes,Clostridia,Clostridiales,Defluviitaleaceae/Hungateiclostridiaceae,Vallitalea,
sv-351:U387-2_S367_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium edouardi
sv-353:U733-4_S278_L001_001,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Hungatella,Hungatella hathewayi
sv-354:U743-5_S198_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,Eisenbergiella massiliensis
sv-355:U570-3_S111_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-356:U538-9_S24_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae
sv-357:U162-7_S374_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,
sv-358:U650-5_S73_L001_001,Firmicutes,Clostridia,Clostridiales,,,
sv-359:U180-1_S230_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,Odoribacter splanchnicus
sv-360:U363-5_S114_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-361:U669-5_S257_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium edouardi
sv-362:U290-1_S121_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,
sv-363:U468-7_S317_L001_001,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,
sv-364:U422-2_S167_L001_001,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,,
sv-365:U117-1_S35_L001_001,Fusobacteria <Fusobacteria>,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium ulcerans
sv-366:U187-2_S146_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
sv-367:U603-1_S217_L001_001,Firmicutes,Clostridia,Clostridiales,,Flintibacter,
sv-369:U134-4_S95_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
sv-372:U165-1_S218_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella clara
sv-373:U445-8_S279_L001_001,Firmicutes,Clostridia,Clostridiales,Defluviitaleaceae/Hungateiclostridiaceae,Vallitalea,
sv-374:U653-2_S139_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,
sv-375:U135-6_S128_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae/Eubacteriaceae,Eubacterium,
sv-376:U444-3_S326_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii
sv-377:U648-7_S142_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-378:U708-3_S340_L001_001,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,Turicibacter sanguinis
sv-379:U628-3_S176_L001_001,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella atypica
sv-380:U271-7_S135_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
sv-381:U662-7_S131_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,
sv-382:U157-8_S170_L001_001,Firmicutes,Clostridia,,,,
sv-385:U658-7_S191_L001_001,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium disporicum
sv-386:U437-1_S58_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-389:U776-7_S341_L001_001,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis
sv-390:U385-3_S306_L001_001,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,
sv-391:U210-9_S362_L001_001,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,
sv-392:U639-2_S49_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Fusicatenibacter,Fusicatenibacter saccharivorans
sv-393:U138-6_S139_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella clara
sv-394:U202-3_S321_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,
sv-396:U552-9_S202_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Rikenellaceae,Tidjanibacter,
sv-397:U108-7_S208_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,
sv-400:U157-7_S32_L001_001,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,,
sv-401:U607-4_S242_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-402:U386-3_S375_L001_001,Firmicutes,Clostridia,Clostridiales,,,
sv-403:U764-5_S86_L001_001,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Mesosutterella,Mesosutterella multiformis
sv-405:U188-8_S66_L001_001,Firmicutes,Clostridia,,,,
sv-406:U509-6_S177_L001_001,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Caecibacter,
sv-407:U622-2_S133_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-408:U199-2_S263_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,
sv-409:U285-4_S228_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-413:U281-8_S283_L001_001,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,
sv-414:U240-8_S134_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis
sv-417:U531-5_S113_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis
sv-419:U423-6_S23_L001_001,Firmicutes,Clostridia,Candidatus Borkfalkiales,Candidatus Borkfalkiaceae,Candidatus Borkfalkia,
sv-420:U136-1_S125_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Gemmiger,
sv-421:U042-8_S53_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii
sv-422:U546-7_S313_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii
sv-423:U268-5_S82_L001_001,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,
sv-424:U515-6_S161_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,
sv-425:U184-5_S258_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides intestinalis
sv-427:U054-7_S185_L001_001,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,,
sv-428:U135-6_S128_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-430:U202-7_S366_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri
sv-431:U538-8_S48_L001_001,Actinobacteria <actinobacteria>,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella lenta
sv-434:U657-1_S255_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae/Eubacteriaceae,Eubacterium,
sv-437:U682-7_S228_L001_001,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Longibaculum,Longibaculum muris
sv-438:U644-4_S169_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii
sv-439:U561-4_S315_L001_001,Firmicutes,Clostridia,Candidatus Borkfalkiales,Candidatus Borkfalkiaceae,Candidatus Borkfalkia,
sv-441:U747-2_S100_L001_001,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania,Holdemania filiformis
sv-442:U213-8_S350_L001_001,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister succinatiphilus
sv-443:U664-5_S277_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides vulgatus
sv-444:U463-1_S134_L001_001,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio desulfuricans
sv-445:U319-5_S90_L001_001,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus/crispatus
sv-446:U177-4_S166_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Frisingicoccus,
sv-447:U635-8_S104_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-449:U442-3_S363_L001_001,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella/Citrobacter,Citrobacter freundii
sv-451:U617-5_S188_L001_001,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium oxidoreducens
sv-453:U560-2_S341_L001_001,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Mitsuokella,Mitsuokella jalaludinii
sv-454:U530-7_S301_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides coprocola
sv-455:U586-2_S344_L001_001,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Hungatella,Hungatella hathewayi
sv-456:U231-8_S263_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides coprocola
sv-459:U296-9_S229_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
sv-460:U518-9_S368_L001_001,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus mucosae
sv-461:U315-7_S315_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,
sv-462:U705-5_S227_L001_001,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,
sv-463:U448-7_S338_L001_001,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus australis/infantis/peroris
sv-464:U502-1_S4_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri
sv-465:U202-7_S366_L001_001,Actinobacteria <actinobacteria>,Actinobacteria <high GC Gram+>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium angulatum/merycicum
sv-466:U778-5_S219_L001_001,Firmicutes,Clostridia,Clostridiales,,,
sv-467:U395-4_S128_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,
sv-468:U556-4_S165_L001_001,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium ramulus
sv-469:U404-4_S197_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,Flavonifractor plautii
sv-471:U297-9_S230_L001_001,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium neonatale
sv-473:U621-6_S355_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerocolumna,
sv-474:U539-4_S332_L001_001,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,
sv-475:U753-1_S167_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae/Eubacteriaceae,,
sv-476:U133-3_S103_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella xylaniphila
sv-477:U343-2_S104_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-479:U404-4_S197_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pseudoflavonifractor,Pseudoflavonifractor capillosus
sv-483:U625-4_S191_L001_001,Firmicutes,Clostridia,Clostridiales,,Intestinimonas,
sv-484:U386-3_S375_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-485:U658-4_S287_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-486:U787-2_S50_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Sporobacter,
sv-488:U379-6_S341_L001_001,Firmicutes,Clostridia,Clostridiales,,Colidextribacter,
